User,Date Created,Number of Likes,Source of Tweet,Tweet
hr2jmn,2022-06-05 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Happy birthday to our fullsun, haechan lee! I'm so thankful of your life bc you make everything so bright indeed like a ray of sunshine. I wish for your genuine happiness forever! Enjoy your day, love 🫶

#HAPPYHAECHANDAY
#23SummersWithHaechan
#동혁아_스물셋_해찬이를_잘부탁해 https://t.co/jhYQb8mNPI"
swonvior,2022-06-05 23:59:59+00:00,1,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@yjwonx gm eri, have a nice day ahead !"
nix_lhj,2022-06-05 23:59:59+00:00,1,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@neotensity JULSSSS!!! happy birthday!! enjoy your day, sana all kabirthday si haechan 🥹🫶🫶"
MK7803,2022-06-05 23:59:59+00:00,4,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@_FireMonkey I’ve been playing since downtime, took a break in between, maybe some later today. All for a total of 12 hours, and i’m level 12. I will agree with the xp situation, and last season, i got 25 levels in 1 day. without buying the bundle"
sijaewmin,2022-06-05 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@nnakeyy Happy haechan day 🤍

#23SummerswithHaechan 
#동혁아_스물셋_해찬이를_잘부탁해
#HAPPYHAECHANDAY"
aussiesgf,2022-06-05 23:59:59+00:00,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",this is the day :((( good luck to all of us! huli na 'to kaya kayang kaya na 'to!
SignsofEndTimes,2022-06-06 23:59:59+00:00,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Russia’s economy is falling apart and “time is working against Russia” and its president, Vladimir Putin, a top German official said Thursday. German Vice Chancellor Robert Habeck made the remarks the same day Russian officials revealed that five more generals had been fired."
hamjjinniejin,2022-06-06 23:59:59+00:00,7,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@wolmoon07 @seokjin_1204Hz @BTS_twt Hi Sierra♡
Have a good day💕💕

TRUE VISUAL CENTER JIN
ALWAYS BY YOUR SIDE JIN 

#Yours_Jin #Supertuna_Jin #Moon_Bts #JIN #방탄소년단진 @BTS_twt https://t.co/A5guFv4iME"
SnowingEmperor,2022-06-06 23:59:59+00:00,2,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@shinlumi take it one day at a time you got disssssss
stallseok,2022-06-06 23:59:58+00:00,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",@S0LJNA we only talk about amber and occasionally some kawpawp group back in my day we talk about glee! https://t.co/rh76Q2y2AT
